trek_code,company_name,customer_segment,total_credit_eur,total_debit_eur,tx_count,last_transaction_date
59760,,,6256.0,0.0,13,2023-12-13
58536,,,6143.16,0.0,13,2026-05-21
59010,,,6072.83,0.0,19,2024-09-27
59544,,,6028.2,0.0,14,2025-11-05
59960,,,5999.03,0.0,8,2024-06-19
60013,,,5992.83,0.0,53,2026-05-12
60106,,,5952.97,0.0,54,2024-04-12
60045,,,5945.0,0.0,1,2023-05-12
59614,,,5820.11,0.0,10,2024-02-20
60226,,,5635.0,0.0,2,2025-01-23
59547,,,5631.2,0.0,2,2025-05-20
10030,,,5474.91,0.0,37,2026-03-27
59893,,,5200.27,0.0,5,2025-09-10
60158,,,5000.0,0.0,1,2024-03-22
59581,,,4979.5,0.0,9,2026-05-20
59764,,,4888.0,0.0,1,2026-03-17
59900,,,4600.0,0.0,1,2023-03-16
60086,,,4560.0,1520.0,4,2025-03-26
59782,,,4493.57,0.0,15,2025-08-26
60262,,,4426.74,0.0,7,2026-01-23
59878,,,4280.0,0.0,5,2025-12-24
58552,,,4255.19,0.0,10,2026-04-22
60199,,,4145.0,4145.0,2,2025-12-31
59770,,,4137.41,27.24,10,2026-03-17
58213,,,3968.22,0.0,42,2026-03-23
60205,,,3937.68,0.0,10,2025-12-02
60104,,,3863.8,897.26,31,2025-09-19
60164,,,3850.0,0.0,2,2025-11-13
59137,,,3830.66,0.0,9,2026-05-12
60113,,,3782.23,0.0,4,2025-03-26
59015,,,3709.26,0.0,6,2023-06-08
10024,,,3650.0,0.0,3,2026-02-11
60314,,,3550.0,0.0,2,2026-04-24
60243,,,3410.69,0.0,3,2025-04-15
59225,,,3376.8,219.11,16,2025-10-08
60283,,,3260.0,0.0,1,2025-09-05
60303,,,3200.0,0.0,1,2026-05-12
59549,,,3192.36,178.86,22,2025-05-20
59287,,,3104.29,0.0,9,2025-11-07
60214,,,3024.0,0.0,2,2026-04-14
59663,,,3008.12,0.0,7,2025-09-19
8000,,,2993.0,0.0,1,2025-12-31
59872,,,2962.13,0.0,9,2026-05-13
59553,,,2937.86,0.0,3,2024-07-18
59158,,,2934.13,0.0,22,2026-05-05
59452,,,2932.17,0.0,24,2026-02-13
59582,,,2910.0,0.0,2,2024-09-25
59274,,,2902.81,0.0,3,2023-06-28
59422,,,2875.97,0.0,2,2023-05-22
59084,,,2864.89,0.0,16,2024-12-17
60185,,,2828.92,0.0,9,2025-05-28
60195,,,2708.85,0.0,2,2025-01-06
59674,,,2643.6,0.0,2,2024-05-14
10017,,,2550.98,0.0,2,2023-07-14
59502,,,2546.7,0.0,8,2026-02-02
60309,,,2535.0,0.0,1,2026-01-07
59314,,,2506.74,0.0,3,2024-12-06
60327,,,2484.41,0.0,8,2026-05-28
59165,,,2471.92,0.0,12,2026-03-30
60117,,,2461.81,0.0,10,2026-03-25
60201,,,2377.68,265.03,15,2025-04-11
59927,,,2375.74,0.0,24,2025-03-28
59552,,,2303.41,0.0,5,2026-02-06
60273,,,2192.21,0.0,3,2025-09-02
59406,,,2163.49,0.0,17,2026-01-26
60208,,,2153.87,0.0,9,2026-03-12
60020,,,2100.79,0.0,8,2026-01-08
60071,,,2100.0,0.0,1,2023-04-18
60140,,,1997.16,0.0,6,2026-04-30
59533,,,1987.66,0.0,6,2025-09-23
60251,,,1960.0,0.0,2,2026-05-13
59885,,,1952.3,0.0,12,2025-10-22
59670,,,1926.75,0.0,2,2025-11-27
59755,,,1888.0,0.0,3,2026-04-22
60242,,,1855.0,0.0,2,2025-03-25
60050,,,1840.0,0.0,1,2023-04-18
59972,,,1792.55,0.0,4,2023-09-27
59908,,,1785.0,0.0,1,2024-07-03
60006,,,1647.52,0.0,6,2026-05-12
10000,,,1643.86,0.0,10,2025-06-13
60181,,,1606.25,0.0,4,2025-11-26
60266,,,1600.0,0.0,1,2025-06-05
60310,,,1600.0,0.0,1,2026-05-29
60192,,,1600.0,0.0,1,2026-03-24
60078,,,1580.0,0.0,1,2023-02-16
59656,,,1567.1,476.39,18,2025-10-22
59310,,,1554.67,0.0,31,2026-02-05
59961,,,1525.0,0.0,1,2024-09-18
60255,,,1520.0,0.0,1,2025-03-27
59525,,,1486.88,0.0,5,2025-04-24
59003,,,1441.4,0.0,17,2023-09-06
60196,,,1400.0,0.0,1,2025-09-19
60054,,,1394.0,0.0,3,2025-07-11
59232,,,1393.04,0.0,6,2024-06-04
59618,,,1383.94,0.0,3,2025-05-20
60187,,,1350.51,0.0,1,2024-06-13
60148,,,1326.0,0.0,1,2023-12-18
59570,,,1289.86,0.0,2,2025-07-11
60172,,,1261.8,0.0,15,2026-03-11
60036,,,1258.75,0.0,1,2023-04-18
59532,,,1222.59,0.0,6,2024-12-13
59889,,,1218.52,185.2,20,2026-04-07
59665,,,1210.0,0.0,2,2024-10-31
59090,,,1206.82,0.0,22,2025-09-04
59746,,,1200.0,0.0,2,2025-05-08
60160,,,1170.5,0.0,1,2024-02-08
59005,,,1130.0,0.0,2,2025-09-30
59664,,,1100.0,0.0,2,2024-11-08
60171,,,1062.3,0.0,3,2024-09-24
60133,,,1059.19,0.0,8,2024-12-10
59472,,,1038.28,0.0,9,2025-11-04
60103,,,1027.85,0.0,1,2023-06-07
59108,,,1020.61,0.0,12,2025-12-22
59109,,,1010.0,0.0,3,2024-12-17
10042,,,1009.51,0.0,3,2023-01-13
59767,,,990.52,0.0,3,2023-12-13
59860,,,970.0,0.0,8,2026-04-24
59583,,,949.88,0.0,3,2026-03-27
60296,,,945.0,0.0,1,2025-10-27
60267,,,922.25,0.0,1,2025-06-13
59874,,,900.26,0.0,8,2024-09-03
59777,,,873.0,0.0,3,2025-07-11
59799,,,862.54,110.62,9,2025-10-16
60291,,,860.44,0.0,3,2026-03-23
59072,,,853.95,0.0,13,2026-01-13
60326,,,849.81,0.0,6,2026-04-22
60317,,,839.94,0.0,1,2026-02-05
60333,,,826.45,0.0,1,2026-04-01
59369,,,825.47,0.0,3,2025-11-28
59256,,,812.38,0.0,3,2024-04-12
59697,,,802.53,0.0,12,2023-06-27
60253,,,781.27,0.0,3,2025-04-02
60066,,,766.78,0.0,2,2023-07-25
10010,,,754.47,0.0,7,2024-10-18
59571,,,745.0,0.0,4,2026-04-22
60091,,,743.17,0.0,9,2023-07-28
60245,,,724.4,0.0,3,2025-02-07
59617,,,718.0,0.0,2,2025-07-01
60259,,,702.85,0.0,3,2025-06-03
60277,,,698.45,0.0,5,2025-10-24
60222,,,687.5,687.5,2,2024-12-17
59067,,,672.27,0.0,9,2026-04-23
60221,,,646.54,0.0,6,2025-01-16
59360,,,633.0,0.0,1,2024-05-06
60076,,,631.38,0.0,6,2023-04-28
60307,,,600.0,0.0,1,2025-12-17
60152,,,593.81,0.0,9,2024-09-27
10014,,,589.32,0.0,5,2025-12-16
60070,,,578.64,0.0,6,2024-05-15
60263,,,572.39,0.0,3,2025-05-28
60252,,,560.0,0.0,1,2025-03-06
60323,,,557.85,0.0,1,2026-03-02
58294,,,555.97,0.0,11,2024-11-11
60261,,,550.0,0.0,1,2025-05-23
60220,,,536.92,0.0,5,2025-09-23
60188,,,534.38,0.0,4,2025-12-12
60315,,,530.0,0.0,1,2026-02-27
60144,,,526.2,0.0,3,2023-11-17
59942,,,519.07,0.0,3,2023-05-12
60276,,,512.03,0.0,3,2025-07-10
60114,,,511.17,0.0,6,2024-06-14
60151,,,510.53,0.0,11,2026-03-27
1000,,,509.84,1198.68,7,2024-01-01
59628,,,472.23,0.0,3,2023-12-12
59954,,,470.1,0.0,3,2024-06-18
60330,,,468.97,0.0,3,2026-04-30
60332,,,460.0,0.0,1,2026-03-26
59631,,,455.13,0.0,3,2025-06-25
60197,,,454.8,0.0,1,2024-07-10
60270,,,446.37,0.0,3,2025-06-24
60115,,,443.5,0.0,5,2026-01-23
59244,,,426.0,0.0,1,2024-07-10
60194,,,419.35,0.0,3,2024-09-20
60247,,,412.7,0.0,3,2025-03-11
60268,,,412.56,0.0,3,2025-06-17
59475,,,408.74,0.0,4,2025-01-08
60159,,,404.01,0.0,3,2024-06-05
60136,,,402.0,0.0,6,2023-11-14
60193,,,400.0,0.0,1,2024-07-02
60232,,,400.0,0.0,1,2024-12-13
59970,,,392.19,0.0,4,2025-12-05
60068,,,390.0,0.0,1,2024-03-15
59348,,,385.09,0.0,6,2025-07-11
60216,,,378.06,0.0,3,2024-11-01
60236,,,376.52,0.0,3,2025-01-27
59457,,,359.26,0.0,5,2023-10-06
60224,,,350.0,0.0,1,2024-12-03
60124,,,348.66,0.0,1,2023-08-30
59607,,,346.38,0.0,3,2023-09-28
60121,,,344.91,0.0,3,2023-10-16
59145,,,340.15,0.0,3,2023-11-15
60202,,,338.38,0.0,3,2024-08-30
59248,,,338.01,0.0,3,2025-09-24
59078,,,333.52,0.0,7,2025-05-20
60116,,,327.71,0.0,6,2025-04-23
59551,,,326.97,0.0,3,2025-02-17
60244,,,325.54,0.0,3,2025-02-03
59142,,,315.13,0.0,3,2024-11-01
60052,,,306.88,0.0,4,2025-12-19
60129,,,294.6,0.0,3,2023-09-29
60338,,,293.52,0.0,3,2026-05-07
60284,,,292.1,0.0,5,2025-11-21
60299,,,287.94,0.0,3,2026-01-07
59645,,,286.41,0.0,3,2024-01-15
60223,,,286.19,0.0,6,2025-02-14
60118,,,281.23,0.0,1,2023-07-27
60329,,,278.95,0.0,3,2026-03-19
60335,,,269.91,0.0,3,2026-04-22
